,Owns,,,,,,,,,,,,,,,
,,BlackRock Inc,State Street Corp,T. Rowe Price Group Inc,Bank of New York Mellon Corp,Northern Trust Corp,Ameriprise Financial Inc,Franklin Resources Inc,Invesco Ltd,SEI Investments Co,Eaton Vance Corp,Legg Mason Inc,Federated Investors Inc,JPMorgan Chase & Co,Wells Fargo & Co,Bank of America Corp
Is owned by,BlackRock Inc,4.4,3.4,0.2,0.3,1.1,0,0.4,0.2,0,0,0,0.3,1.5,1.3,1.2
,State Street Corp,5.9,5.2,8.6,1,1.2,0,0.2,2.2,0.2,0.3,0,0,0.8,0.2,0.3
,T. Rowe Price Group Inc,7.9,5.9,0.2,0.9,1.3,0,0.4,0.8,0.1,0.3,0,0,5,0.6,0.9
,Bank of New York Mellon Corp,5.6,4.8,4.6,0.7,1.2,0,0.1,0.7,0.1,0.1,0,0.1,1,0.2,0.2
,Northern Trust Corp,6,4.5,2.8,0.8,5.6,0,0,1.9,0.1,0.3,0,0,3.6,0.9,0.3
,Ameriprise Financial Inc,7.2,4.8,3.3,1.3,1.4,0,0,0.7,0.1,0.2,0,0.1,3,1.5,0.3
,Fanklin Resources Inc,3.4,3.5,0.1,0.6,0.8,0,0.2,0.4,0,0.2,0,0,0.6,0.2,0.1
,Invesco Ltd,8.2,4.7,0.9,2,1.2,0,0,0.1,0.1,0.1,0,0.4,0.2,0.4,0.5
,SEI Investments Co,8.8,3.9,0,1,0.9,0,0,0.8,0,0.2,0,0,0.2,0.1,0.1
,Eaton Vance Corp,9.3,6.9,0.1,2,1.1,0,0.1,0,0,1.5,0,0.1,1.5,4.5,0.2
,Legg Mason Inc,8,2.8,0.5,1.1,0.9,0,0,3.3,0,0.2,0,0.1,0.1,0.3,0.1
,Federated Investors Inc,10.6,2.8,0,1.2,1,0,0,4.9,0,0,0,0,0,0.5,0.2
,JPMorgan Chase & Co,6.7,4.9,2.2,0.9,1.4,0,0.6,0.7,0.1,0.3,0,0.1,0.1,0.7,0.9
,Wells Fargo & Co,5.8,4.1,1.4,0.8,1.2,0,0.9,0.4,0,0.3,0,0,1.3,0.1,0.4
,Bank of America Corp,6.5,4.3,0.3,0.8,1.1,0,0.2,0.9,0.1,0.1,0,0.1,1.6,0.3,0.1
